tag,subject,variant,variant_display,seed,freeze_eeg,epochs,effective_batch_size,lr,best_epoch,best_val_loss,total_train_minutes,total_params_M,trainable_params_M,projection_params_M,bleu1,bleu2,bleu3,bleu4,meteor,bertscore_p,bertscore_r,bertscore_f1
main,sub-09,multi_token,Independent Heads,42,True,25,128,0.0004,25,1.554567,65.52,146.63,4.994,4.485,0.15826764756681824,0.04816706001978494,0.02259165668279046,0.014433915505104072,0.09303324139165667,0.6187129020690918,0.5872867703437805,0.6023555397987366
main,sub-09,single_token,Single Token,42,True,25,128,0.0004,25,2.099194,64.18,146.606,4.97,4.462,0.163234589562225,0.047442429027124734,0.021681983391940992,0.01390734406408346,0.0948755802628044,0.6260892152786255,0.5991244912147522,0.6119962334632874
main,sub-09,transformer,Transformer,42,True,25,128,0.0004,25,2.048736,63.42,147.083,5.447,4.939,0.16229716690140772,0.046185935525156714,0.020427499883825327,0.013241903476805547,0.09577935029962525,0.61915522813797,0.588878870010376,0.6033098697662354
main,sub-10,linear_multi,Joint Linear (Ours),42,True,25,128,0.0004,25,1.512979,62.43,146.648,5.012,4.503,0.1557193052686362,0.04408433456474728,0.020225992652619915,0.012885112047726468,0.09180140567865407,0.6164261698722839,0.5852599740028381,0.6001831889152527
main,sub-10,multi_token,Independent Heads,42,True,25,128,0.0004,25,1.542301,64.35,146.63,4.994,4.485,0.14376322373446407,0.04524080907661911,0.01994002892336717,0.012847892643084155,0.08928184321837347,0.6171008944511414,0.5875996351242065,0.6018140912055969
main,sub-10,single_token,Single Token,42,True,25,128,0.0004,25,2.09181,63.63,146.606,4.97,4.462,0.13052571143931205,0.03863914648285313,0.018634834578509663,0.012733995901550553,0.08011402539194039,0.6198210716247559,0.5774489045143127,0.5974842309951782
main,sub-10,transformer,Transformer,42,True,25,128,0.0004,25,2.033219,64.34,147.083,5.447,4.939,0.14756134675725513,0.04288862581288902,0.01958023988455135,0.013115927913472764,0.08968089328152395,0.6141148209571838,0.5801889896392822,0.5963106155395508
main,sub-13,linear_multi,Joint Linear (Ours),42,True,25,128,0.0004,25,1.56776,64.45,146.648,5.012,4.503,0.1497795614713444,0.04045800647272664,0.01878770152280782,0.012591067202871573,0.08990539512568556,0.6134883761405945,0.5881889462471008,0.6002715229988098
main,sub-13,multi_token,Independent Heads,42,True,25,128,0.0004,25,1.576036,63.48,146.63,4.994,4.485,0.1334914207252361,0.040931477510280985,0.020774349684445734,0.013398005986873747,0.08210105050539485,0.611328125,0.578182578086853,0.5939711332321167
main,sub-13,single_token,Single Token,42,True,25,128,0.0004,25,2.110223,63.33,146.606,4.97,4.462,0.13482492787318764,0.04093442573281575,0.019212215750027177,0.012894861661400123,0.08261518393661312,0.6218286156654358,0.5745818018913269,0.5969237685203552
main,sub-13,transformer,Transformer,42,True,25,128,0.0004,25,2.044182,63.4,147.083,5.447,4.939,0.1591853961873961,0.04431121826566868,0.01966744385755828,0.012769892209226637,0.09537629044826082,0.6118366122245789,0.5860311985015869,0.5984556078910828
main,sub-14,linear_multi,Joint Linear (Ours),42,True,25,128,0.0004,25,1.515014,63.82,146.648,5.012,4.503,0.1542459936826666,0.04409901659967387,0.022480011846400215,0.015030335629431896,0.0939414244218559,0.6103332042694092,0.5876766443252563,0.5984711647033691
main,sub-14,multi_token,Independent Heads,42,True,25,128,0.0004,25,1.528699,64.76,146.63,4.994,4.485,0.14705357987233716,0.04588585364314926,0.02125238962791834,0.013714781853685713,0.08991138179835505,0.6139000058174133,0.5845786929130554,0.5985879302024841
main,sub-14,single_token,Single Token,42,True,25,128,0.0004,25,2.10277,66.56,146.606,4.97,4.462,0.13210462402644776,0.03567951290161416,0.01721970711868917,0.011696661367728555,0.07710545312255532,0.6265986561775208,0.5803303122520447,0.6022356152534485
main,sub-14,transformer,Transformer,42,True,25,128,0.0004,25,2.03514,63.95,147.083,5.447,4.939,0.12336559414702601,0.03607895151058719,0.017397248832983176,0.01162311712856099,0.07521898581264347,0.6245616674423218,0.5756032466888428,0.5986871719360352
main,sub-15,linear_multi,Joint Linear (Ours),42,True,25,128,0.0004,25,1.673708,66.06,146.648,5.012,4.503,0.15257805683699804,0.03555525248710864,0.017758813055116448,0.011607721190574322,0.08771503193163027,0.6138379573822021,0.5855712890625,0.5990819334983826
main,sub-15,multi_token,Independent Heads,42,True,25,128,0.0004,25,1.69915,67.9,146.63,4.994,4.485,0.140641586570835,0.03912182632066418,0.019320497774165935,0.012801355570452718,0.0853662026768561,0.603590726852417,0.5786910057067871,0.5905409455299377
main,sub-15,single_token,Single Token,42,True,25,128,0.0004,25,2.195163,65.35,146.606,4.97,4.462,0.12562110544279462,0.034201309278941036,0.015924630254680466,0.010805177696136717,0.0762847225115045,0.6340334415435791,0.5774866342544556,0.6042112708091736
main,sub-15,transformer,Transformer,42,True,25,128,0.0004,25,2.140998,66.88,147.083,5.447,4.939,0.13735973389794628,0.034787143691041716,0.01684263971151316,0.01123779768008486,0.07993672485625175,0.613108217716217,0.578213095664978,0.5948071479797363
